Timestamp,Temperature_C,Flow_CFS,Turbidity_FNU
2024-01-01 00:00:00,6.7,9640.0,5.4
2024-01-01 00:15:00,6.7,9540.0,5.8
2024-01-01 00:30:00,6.7,9640.0,5.7
2024-01-01 00:45:00,6.7,9640.0,5.6
2024-01-01 01:00:00,6.7,9540.0,5.5
2024-01-01 01:15:00,6.7,9640.0,5.6
2024-01-01 01:30:00,6.8,9450.0,5.7
2024-01-01 01:45:00,6.8,9450.0,5.6
2024-01-01 02:00:00,6.8,9360.0,5.7
2024-01-01 02:15:00,6.8,9360.0,5.8
2024-01-01 02:30:00,6.8,9360.0,5.7
2024-01-01 02:45:00,6.8,9360.0,5.7
2024-01-01 03:00:00,6.8,9260.0,5.8
2024-01-01 03:15:00,6.8,9260.0,5.4
2024-01-01 03:30:00,6.8,9260.0,5.6
2024-01-01 03:45:00,6.8,9260.0,5.5
2024-01-01 04:00:00,6.9,9170.0,5.6
2024-01-01 04:15:00,6.9,9260.0,5.4
2024-01-01 04:30:00,6.9,9260.0,5.7
2024-01-01 04:45:00,6.9,9260.0,5.3
2024-01-01 05:00:00,6.9,9170.0,5.6
2024-01-01 05:15:00,6.9,9260.0,5.4
2024-01-01 05:30:00,6.9,9170.0,5.4
2024-01-01 05:45:00,6.9,9170.0,5.1
2024-01-01 06:00:00,6.9,9170.0,5.3
2024-01-01 06:15:00,6.9,9170.0,5.5
2024-01-01 06:30:00,6.9,9170.0,5.1
2024-01-01 06:45:00,6.9,9080.0,5.3
2024-01-01 07:00:00,6.9,9260.0,5.2
2024-01-01 07:15:00,6.9,9260.0,4.8
2024-01-01 07:30:00,6.9,9260.0,4.5
2024-01-01 07:45:00,6.9,9260.0,4.7
2024-01-01 08:00:00,6.9,9260.0,5.4
2024-01-01 08:15:00,6.9,9170.0,5.4
2024-01-01 08:30:00,6.9,9170.0,4.9
2024-01-01 08:45:00,6.9,9170.0,5.2
2024-01-01 09:00:00,6.9,9170.0,4.8
2024-01-01 09:15:00,6.9,9170.0,4.8
2024-01-01 09:30:00,6.9,9080.0,4.6
2024-01-01 09:45:00,6.9,9080.0,4.6
2024-01-01 10:00:00,6.9,9080.0,5.1
2024-01-01 10:15:00,6.9,9170.0,4.9
2024-01-01 10:30:00,6.9,9080.0,4.9
2024-01-01 10:45:00,6.9,9080.0,5.0
2024-01-01 11:00:00,6.9,9080.0,5.0
2024-01-01 11:15:00,6.9,9080.0,5.1
2024-01-01 11:30:00,6.9,9080.0,5.3
2024-01-01 11:45:00,6.9,8980.0,5.0
2024-01-01 12:00:00,6.9,9080.0,5.0
2024-01-01 12:15:00,6.9,8980.0,4.9
2024-01-01 12:30:00,6.9,8890.0,4.8
2024-01-01 12:45:00,6.9,8980.0,4.8
2024-01-01 13:00:00,6.9,8980.0,5.3
2024-01-01 13:15:00,6.9,8980.0,4.7
2024-01-01 13:30:00,6.9,8980.0,4.6
2024-01-01 13:45:00,6.9,8980.0,4.6
2024-01-01 14:00:00,6.9,8800.0,4.9
2024-01-01 14:15:00,6.9,8800.0,4.8
2024-01-01 14:30:00,6.9,8800.0,4.8
2024-01-01 14:45:00,6.9,8710.0,4.7
2024-01-01 15:00:00,6.9,8710.0,4.8
2024-01-01 15:15:00,6.9,8710.0,4.6
2024-01-01 15:30:00,6.8,8710.0,4.8
2024-01-01 15:45:00,6.8,8710.0,4.7
2024-01-01 16:00:00,6.8,8710.0,5.0
2024-01-01 16:15:00,6.8,8710.0,4.7
2024-01-01 16:30:00,6.8,8710.0,4.8
2024-01-01 16:45:00,6.8,8710.0,4.9
2024-01-01 17:00:00,6.8,8710.0,4.7
2024-01-01 17:15:00,6.8,8620.0,5.0
2024-01-01 17:30:00,6.8,8620.0,4.8
2024-01-01 17:45:00,6.7,8620.0,4.7
2024-01-01 18:00:00,6.7,8620.0,4.7
2024-01-01 18:15:00,6.7,8620.0,4.8
2024-01-01 18:30:00,6.7,8530.0,4.6
2024-01-01 18:45:00,6.7,8530.0,4.8
2024-01-01 19:00:00,6.7,8530.0,4.7
2024-01-01 19:15:00,6.7,8530.0,4.6
2024-01-01 19:30:00,6.7,8530.0,4.8
2024-01-01 19:45:00,6.6,8530.0,4.9
2024-01-01 20:00:00,6.6,8530.0,4.8
2024-01-01 20:15:00,6.6,8440.0,4.8
2024-01-01 20:30:00,6.6,8440.0,4.9
2024-01-01 20:45:00,6.6,8440.0,4.8
2024-01-01 21:00:00,6.6,8440.0,4.8
2024-01-01 21:15:00,6.6,8440.0,5.1
2024-01-01 21:30:00,6.6,8350.0,4.9
2024-01-01 21:45:00,6.6,8350.0,4.9
2024-01-01 22:00:00,6.6,8350.0,5.0
2024-01-01 22:15:00,6.5,8350.0,4.9
2024-01-01 22:30:00,6.5,8350.0,5.1
2024-01-01 22:45:00,6.5,8260.0,5.0
2024-01-01 23:00:00,6.5,8260.0,4.8
2024-01-01 23:15:00,6.5,8260.0,4.9
2024-01-01 23:30:00,6.5,8260.0,4.9
2024-01-01 23:45:00,6.5,8260.0,4.8
2024-01-02 00:00:00,6.5,8260.0,4.6
2024-01-02 00:15:00,6.5,8260.0,4.8
2024-01-02 00:30:00,6.5,8170.0,4.8
2024-01-02 00:45:00,6.5,8170.0,4.7
2024-01-02 01:00:00,6.5,8170.0,4.7
2024-01-02 01:15:00,6.5,8170.0,4.6
2024-01-02 01:30:00,6.5,8080.0,4.8
2024-01-02 01:45:00,6.5,8080.0,4.7
2024-01-02 02:00:00,6.5,8080.0,4.6
2024-01-02 02:15:00,6.5,8260.0,4.2
2024-01-02 02:30:00,6.4,8170.0,4.6
2024-01-02 02:45:00,6.5,8260.0,5.0
2024-01-02 03:00:00,6.4,8260.0,4.9
2024-01-02 03:15:00,6.5,8260.0,4.6
2024-01-02 03:30:00,6.4,8170.0,4.9
2024-01-02 03:45:00,6.4,8260.0,4.6
2024-01-02 04:00:00,6.4,8260.0,5.2
2024-01-02 04:15:00,6.4,8170.0,5.7
2024-01-02 04:30:00,6.4,8260.0,6.0
2024-01-02 04:45:00,6.4,8170.0,4.9
2024-01-02 05:00:00,6.4,8260.0,6.0
2024-01-02 05:15:00,6.4,8080.0,5.7
2024-01-02 05:30:00,6.4,8170.0,6.0
2024-01-02 05:45:00,6.4,8170.0,5.5
2024-01-02 06:00:00,6.4,8170.0,6.2
2024-01-02 06:15:00,6.4,8170.0,5.4
2024-01-02 06:30:00,6.4,8080.0,6.1
2024-01-02 06:45:00,6.3,8080.0,4.6
2024-01-02 07:00:00,6.4,8080.0,4.7
2024-01-02 07:15:00,6.3,8080.0,5.8
2024-01-02 07:30:00,6.3,8080.0,4.6
2024-01-02 07:45:00,6.3,8080.0,4.5
2024-01-02 08:00:00,6.2,8000.0,4.8
2024-01-02 08:15:00,6.2,8000.0,5.0
2024-01-02 08:30:00,6.3,8000.0,4.8
2024-01-02 08:45:00,6.2,7910.0,4.5
2024-01-02 09:00:00,6.2,7910.0,4.6
2024-01-02 09:15:00,6.2,7820.0,4.5
2024-01-02 09:30:00,6.2,7820.0,5.3
2024-01-02 09:45:00,6.2,7820.0,4.4
2024-01-02 10:00:00,6.2,7740.0,4.5
2024-01-02 10:15:00,6.2,7650.0,6.0
2024-01-02 10:30:00,6.2,7740.0,6.8
